cid,eid1,eid2,eid3,xy
114,85,152,191,"[[12.172382399403, 13.185530235943], [12.495518109758, 13.283898416408999], [12.103333333333001, 13.543333333333], [12.172382399403, 13.185530235943]]"
115,193,194,195,"[[35.605230162466995, 13.066712564354999], [35.372320811601, 12.604089872563], [35.886797845254, 12.872958761348], [35.605230162466995, 13.066712564354999]]"
116,148,196,197,"[[13.596624599958, 13.662087049852], [13.959322591005002, 13.606673572602999], [13.863333333333001, 13.976666666666999], [13.596624599958, 13.662087049852]]"
117,198,199,200,"[[14.496666666666998, 13.873333333333001], [14.18, 13.88], [14.314025357107, 13.441966375926], [14.496666666666998, 13.873333333333001]]"
118,146,2,1,"[[8.181386308919999, 9.672650752771], [8.489169167098, 9.829154465426], [8.113333333333, 10.01], [8.181386308919999, 9.672650752771]]"
119,201,202,203,"[[14.655944380332, 13.53640631159], [15.000805325777, 13.396301379554], [14.813333333333, 13.866666666667], [14.655944380332, 13.53640631159]]"
120,204,5,205,"[[29.036313385952, 13.060720698513999], [28.764326141136998, 13.235047815109], [28.819869862757002, 12.772623301872999], [29.036313385952, 13.060720698513999]]"
121,173,175,182,"[[37.613631917996, 12.321195567146], [37.671622960309, 12.773399477374001], [37.323874238238, 12.679424975827999], [37.613631917996, 12.321195567146]]"
122,192,206,96,"[[12.33, 13.71], [12.668079877284999, 13.537768342309999], [12.63, 13.863333333333001], [12.33, 13.71]]"
123,113,207,98,"[[13.242761098057, 13.703310848031002], [13.23, 14.17], [12.93, 14.016666666667], [13.242761098057, 13.703310848031002]]"
124,96,206,97,"[[12.63, 13.863333333333001], [12.668079877284999, 13.537768342309999], [12.915294979182999, 13.666406045638], [12.63, 13.863333333333001]]"
125,143,208,209,"[[7.427661098904, 9.076559555396], [7.673786061353001, 8.799642258732], [7.789449736261999, 9.165500916892999], [7.427661098904, 9.076559555396]]"
126,209,144,143,"[[7.789449736261999, 9.165500916892999], [7.35, 9.426666666667], [7.427661098904, 9.076559555396], [7.789449736261999, 9.165500916892999]]"
127,210,31,28,"[[1.942780666091, 2.5957792892160003], [1.657984294655, 2.868864678661], [1.466715719587, 2.5397177204859998], [1.942780666091, 2.5957792892160003]]"
128,152,206,192,"[[12.495518109758, 13.283898416408999], [12.668079877284999, 13.537768342309999], [12.33, 13.71], [12.495518109758, 13.283898416408999]]"
129,211,212,213,"[[39.661403484264, 12.603571690381001], [40.13, 12.89], [39.813333333333, 12.906666666666998], [39.661403484264, 12.603571690381001]]"
130,81,178,189,"[[27.652805137373, 13.666103786340999], [27.428698117099, 13.188833210439], [27.818614061698, 13.397105772846999], [27.652805137373, 13.666103786340999]]"
131,211,213,214,"[[39.661403484264, 12.603571690381001], [39.813333333333, 12.906666666666998], [39.496666666667, 12.923333333333002], [39.661403484264, 12.603571690381001]]"
132,58,103,169,"[[10.793434607500998, 11.740595089128], [10.64, 12.143333333333], [10.4, 11.916666666666998], [10.793434607500998, 11.740595089128]]"
133,141,215,216,"[[15.639198373034999, 13.493084425507], [15.47, 13.876666666666999], [15.316907402323999, 13.548983184215], [15.639198373034999, 13.493084425507]]"
